timestamp,operator,region,province,city,enodeb_id,cell_id,rsrp_dbm,sinr_db,dl_throughput_mbps,ul_throughput_mbps,latency_ms,active_users,bandwidth_mhz
2024-01-10 08:47:00,XL,Papua,Papua,Jayapura,90292,2,-89.70819782598917,9.333720155696053,4.1774703436883645,2.1001664677334735,48.717468032475246,90,10
2024-01-17 08:21:00,Smartfren,Papua,Papua,Jayapura,58560,1,-75.3733544381632,11.07477311608365,6.37457437539296,2.6868633418633063,61.83773940657585,177,20
2024-01-26 19:34:00,XL,Papua,Papua,Jayapura,61548,3,-102.51699274918097,9.149219848688073,4.92428879826583,1.6977514283091661,31.99475176845034,43,15
2024-01-07 08:19:00,Telkomsel,Sumatera,South Sumatra,Lampung,61943,3,-100.27703764550517,16.409610241787583,13.753972975786246,7.127290604182077,38.15733833159575,68,10
2024-01-06 19:26:00,Smartfren,Jawa,East Java,Bandung,95029,3,-113.48883107230972,17.384133684379115,9.769540254928115,5.068921970458837,72.3830103987212,176,15
2024-01-27 07:04:00,Indosat,Jawa,Central Java,Semarang,28377,2,-100.2368022831161,10.183557662761272,16.694457632032996,9.090055530021187,33.49139911623686,60,20
2024-01-20 03:54:00,Indosat,Papua,Papua,Jayapura,83389,1,-109.25556735766227,5.651972467708472,1.6233017618964156,0.8494421343034141,68.99746445004757,146,10
2024-01-20 22:26:00,Smartfren,Jawa,West Java,Jakarta,48606,2,-83.04228186325918,16.030769020756168,7.7167826537256845,2.7931559859617967,56.23202976437167,109,10
2024-01-02 12:17:00,Smartfren,Jawa,Central Java,Surabaya,58856,3,-93.52434624977406,5.360087164008576,1.9777473047354472,0.7532756261900325,57.48270215814375,182,10
2024-01-07 14:43:00,XL,Kalimantan,East Kalimantan,Balikpapan,46225,1,-97.23510706651811,11.687068621704945,9.7493080375994,4.910274529848099,66.46930072747568,187,20
2024-01-22 11:44:00,Indosat,Kalimantan,South Kalimantan,Balikpapan,61177,2,-92.32969376326342,15.746404983030843,17.212217339377492,5.850494868544986,23.088015043354684,29,15
2024-01-16 17:04:00,Smartfren,Sulawesi,South Sulawesi,Makassar,47637,1,-95.98132534706042,13.470093358678527,8.028778598741003,2.6371463224003806,33.27388861553021,34,10
2024-01-01 16:36:00,Indosat,Papua,Papua,Jayapura,72793,1,-96.71850503456554,9.409973458175042,7.644313868789828,3.087404039901569,17.09070173193426,7,15
2024-01-18 22:27:00,Smartfren,Kalimantan,East Kalimantan,Banjarmasin,39501,2,-103.60531359884675,14.728067294347676,5.141980086075282,3.0087507539918823,50.251061629324646,115,10
2024-01-20 07:23:00,Smartfren,Sumatera,Lampung,Medan,39172,3,-82.04997669919412,14.248365825339938,11.32667629698311,4.672361685642431,48.897159204805185,126,15
2024-01-06 11:25:00,Indosat,Jawa,West Java,Surabaya,14684,2,-104.02280039960495,28.547990062235577,51.45000474061255,18.244571433383342,34.947932223590186,77,20
2024-01-24 05:45:00,Telkomsel,Kalimantan,South Kalimantan,Banjarmasin,18703,2,-79.12299820459747,23.46063431413409,35.205634076479114,13.106593576424276,53.08152940573397,83,20
2024-01-04 21:40:00,Smartfren,Sulawesi,South Sulawesi,Manado,87371,2,-89.97413093716709,13.965670487613043,9.002701247294082,4.395447223489307,54.01179222828982,119,20
2024-01-22 20:20:00,Smartfren,Sumatera,North Sumatra,Medan,78166,3,-87.88422293064674,18.032849091072602,8.560338950950937,4.6195210736083485,63.3188475275693,174,15
2024-01-09 02:05:00,Indosat,Jawa,West Java,Surabaya,51000,1,-85.5882457207196,19.021010176231993,17.718871593457504,5.9745748149145985,38.29987515129124,53,10
2024-01-29 04:39:00,Telkomsel,Jawa,DKI Jakarta,Jakarta,93295,1,-88.60854156066996,9.155573777462578,8.442861500028094,4.023141556380325,32.32860329601755,58,10
2024-01-25 00:27:00,XL,Jawa,Central Java,Bandung,40364,1,-96.56933184206628,16.268556268725558,19.416651370481738,9.606692154039889,46.36447280707055,112,15
2024-01-26 04:55:00,Indosat,Papua,Papua,Jayapura,73041,3,-96.65029263717814,1.577967404908371,0.5,0.2852746656852291,38.61495603372702,67,20
2024-01-30 21:21:00,Indosat,Jawa,East Java,Semarang,10513,3,-98.87947310100455,27.52425361314341,21.708377697978467,9.443136310460943,56.48149756474953,130,15
2024-01-26 23:40:00,Smartfren,Jawa,Central Java,Bandung,80542,2,-100.93658236701036,7.063961155198944,4.566680169758407,1.9266897927425286,32.513055977616645,66,10
2024-01-20 10:03:00,Telkomsel,Papua,Papua,Jayapura,30635,1,-97.87718181605972,12.801076591182113,10.868583319876999,5.806431690118824,65.07812685544951,150,20
2024-01-03 02:55:00,XL,Jawa,Central Java,Jakarta,57380,1,-104.99504417466073,25.532644962482262,37.91638587967548,19.23546005999548,39.524902963939205,59,15
2024-01-26 19:02:00,Telkomsel,Papua,Papua,Jayapura,31724,3,-97.12000931557161,8.911391194756384,3.300647175162825,0.9911484711509214,43.30531350354107,61,10
2024-01-25 22:53:00,Telkomsel,Sulawesi,North Sulawesi,Makassar,88622,3,-84.40186619854151,15.369326393563046,7.50132849953232,4.33270104242083,41.952625522954676,72,10
